#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0.jfif,62417,{},1,0,"{""name"":""rect"",""x"":167,""y"":43,""width"":226,""height"":113}","{""Damage"":""1""}"
1.jfif,32919,{},1,0,"{""name"":""rect"",""x"":92,""y"":137,""width"":41,""height"":89}","{""Damage"":""1""}"
4.jfif,61726,{},1,0,"{""name"":""rect"",""x"":136,""y"":127,""width"":91,""height"":157}","{""Damage"":""1""}"
6.jfif,55822,{},3,0,"{""name"":""rect"",""x"":305,""y"":121,""width"":182,""height"":51}","{""Damage"":""1""}"
6.jfif,55822,{},3,1,"{""name"":""rect"",""x"":331,""y"":186,""width"":161,""height"":82}","{""Damage"":""1""}"
6.jfif,55822,{},3,2,"{""name"":""rect"",""x"":132,""y"":406,""width"":180,""height"":59}","{""Damage"":""1""}"
7.jfif,62315,{},1,0,"{""name"":""rect"",""x"":318,""y"":374,""width"":133,""height"":47}","{""Damage"":""1""}"
8.jfif,54555,{},1,0,"{""name"":""rect"",""x"":46,""y"":198,""width"":299,""height"":259}","{""Damage"":""1""}"
9.jfif,60090,{},1,0,"{""name"":""rect"",""x"":78,""y"":171,""width"":379,""height"":242}","{""Damage"":""1""}"
10.jfif,55753,{},2,0,"{""name"":""rect"",""x"":119,""y"":126,""width"":417,""height"":244}","{""Damage"":""1""}"
10.jfif,55753,{},2,1,"{""name"":""rect"",""x"":271,""y"":17,""width"":278,""height"":98}","{""Damage"":""1""}"
15.jfif,50886,{},1,0,"{""name"":""rect"",""x"":249,""y"":53,""width"":326,""height"":203}","{""Damage"":""1""}"
20.jfif,61258,{},1,0,"{""name"":""rect"",""x"":148,""y"":154,""width"":310,""height"":273}","{""Damage"":""1""}"
21.jfif,46925,{},1,0,"{""name"":""rect"",""x"":302,""y"":105,""width"":176,""height"":93}","{""Damage"":""1""}"
30.jfif,54011,{},1,0,"{""name"":""rect"",""x"":137,""y"":72,""width"":289,""height"":129}","{""Damage"":""1""}"
33.jfif,44391,{},1,0,"{""name"":""rect"",""x"":284,""y"":158,""width"":301,""height"":238}","{""Damage"":""1""}"
35.jfif,39912,{},1,0,"{""name"":""rect"",""x"":221,""y"":253,""width"":92,""height"":73}","{""Damage"":""1""}"
37.jfif,44468,{},2,0,"{""name"":""rect"",""x"":32,""y"":133,""width"":397,""height"":258}","{""Damage"":""1""}"
37.jfif,44468,{},2,1,"{""name"":""rect"",""x"":444,""y"":192,""width"":43,""height"":152}","{""Damage"":""1""}"
41.jfif,53916,{},1,0,"{""name"":""rect"",""x"":304,""y"":181,""width"":115,""height"":124}","{""Damage"":""1""}"
44.jfif,49785,{},1,0,"{""name"":""rect"",""x"":276,""y"":86,""width"":173,""height"":104}","{""Damage"":""1""}"
45.jfif,48325,{},1,0,"{""name"":""rect"",""x"":317,""y"":229,""width"":204,""height"":129}","{""Damage"":""1""}"
50.jfif,50950,{},2,0,"{""name"":""rect"",""x"":121,""y"":198,""width"":198,""height"":159}","{""Damage"":""1""}"
50.jfif,50950,{},2,1,"{""name"":""rect"",""x"":384,""y"":114,""width"":120,""height"":161}","{""Damage"":""1""}"
52.jfif,49864,{},2,0,"{""name"":""rect"",""x"":480,""y"":273,""width"":122,""height"":114}","{""Damage"":""1""}"
52.jfif,49864,{},2,1,"{""name"":""rect"",""x"":296,""y"":260,""width"":100,""height"":37}","{""Damage"":""1""}"
54.jfif,43629,{},1,0,"{""name"":""rect"",""x"":67,""y"":220,""width"":333,""height"":186}","{""Damage"":""1""}"
55.jfif,50046,{},1,0,"{""name"":""rect"",""x"":192,""y"":84,""width"":206,""height"":75}","{""Damage"":""1""}"
57.jfif,54498,{},2,0,"{""name"":""rect"",""x"":401,""y"":76,""width"":225,""height"":345}","{""Damage"":""1""}"
57.jfif,54498,{},2,1,"{""name"":""rect"",""x"":8,""y"":161,""width"":384,""height"":237}","{""Damage"":""1""}"
59.jfif,57077,{},1,0,"{""name"":""rect"",""x"":355,""y"":115,""width"":175,""height"":268}","{""Damage"":""1""}"
